target_source,method,contracts,total_calibration_error,rmse,mae,wall_clock_seconds,success
yfinance IV,GP,973,21.891259254569334,0.1499957493559068,0.0911497585267584,3.883935375022702,True
yfinance IV,FFT,973,17.649008421242204,0.1346801945382675,0.0896257331983606,3.4958787910290994,True
own IV,GP,899,9.43898888129084,0.102466733424124,0.0548042793656604,12.27043670899002,True
own IV,FFT,899,5.738206319286743,0.0798929088507538,0.0452535094262503,3.4745114580146037,True
