parameter,fft_calibrated,gp_calibrated,sparse_gp_calibrated,max_abs_spread,relative_spread_pct
v0,0.0360199055283832,0.0330381532489696,0.0325264640763855,0.003493441451997703,10.316851486404785
kappa,2.6509613111613657,4.998386022881946,0.1001058627817415,4.898280160100205,189.62422389132024
theta,0.0101229951136501,0.1170819504045021,0.1419798904653484,0.13185689535169828,146.95132606925188
sigma_v,0.9993863554271026,0.9993863554271026,0.9993863554271026,0.0,0.0
rho,-0.9495768662885722,-0.9495768662885722,-0.9495768662885722,0.0,0.0
