method,total_calibration_error,rmse,mae,contracts,success
FFT pricer,17.649008421242204,0.1346801945382675,0.0896257331983606,973,True
GP emulator,21.891259254569334,0.1499957493559068,0.0911497585267584,973,True
Sparse GP emulator,21.624634121548254,0.1490795125089139,0.0868340994170209,973,True
