method,mean_std,within_1sigma_%,within_2sigma_%,z_std
Exact GP,0.0004359901578728005,59.97686524002314,80.98129940235204,2.4290007572466834
Sparse GP,0.0005262519686785792,67.58241758241759,84.82745324850588,1.93497294208708
