parameter,gp_calibrated,fft_calibrated,absolute_difference,relative_difference_pct
v0,0.0330381532489696,0.0360199055283832,0.0029817522794136006,8.27806801731898
kappa,4.998386022881946,2.6509613111613657,2.3474247117205804,88.54994231100987
theta,0.1170819504045021,0.0101229951136501,0.106958955290852,1056.593963446904
sigma_v,0.9993863554271026,0.9993863554271026,0.0,0.0
rho,-0.9495768662885722,-0.9495768662885722,0.0,0.0
